read,2,8,0,4607
read,5,8,0,4639
read,6,8,0,4671
read,0,8,0,4706
read,1,8,0,4707
read,4,8,0,4709
read,3,8,0,4719
read,7,8,0,4721
net.imagej.ops.Ops.Create.Img,2,8,0,312
net.imagej.ops.Ops.Create.Img,6,8,0,315
net.imagej.ops.Ops.Create.Img,0,8,0,325
net.imagej.ops.Ops.Create.Img,1,8,0,308
net.imagej.ops.Ops.Create.Img,5,8,0,401
net.imagej.ops.Ops.Create.Img,4,8,0,321
net.imagej.ops.Ops.Create.Img,7,8,0,333
net.imagej.ops.Ops.Create.Img,3,8,0,385
com.mycompany.imagej.ops.parallel.ThreadedParallel,5,8,0,185052
com.mycompany.imagej.ops.parallel.ThreadedParallel,4,8,0,185581
com.mycompany.imagej.ops.parallel.ThreadedParallel,2,8,0,186304
com.mycompany.imagej.ops.parallel.ThreadedParallel,7,8,0,188562
com.mycompany.imagej.ops.parallel.ThreadedParallel,6,8,0,188876
com.mycompany.imagej.ops.parallel.ThreadedParallel,0,8,0,189872
com.mycompany.imagej.ops.parallel.ThreadedParallel,3,8,0,207735
com.mycompany.imagej.ops.parallel.ThreadedParallel,1,8,0,209554
barrier,2,8,0,158439
barrier,0,8,0,154801
barrier,6,8,0,155820
barrier,4,8,0,159049
barrier,1,8,0,22
barrier,3,8,0,28
barrier,5,8,0,159597
barrier,7,8,0,156051
gather,6,8,0,783
gather,2,8,0,819
gather,4,8,0,780
com.mycompany.imagej.ops.parallel.Parallel,6,8,0,345566
com.mycompany.imagej.ops.parallel.Parallel,2,8,0,345624
com.mycompany.imagej.ops.parallel.Parallel,4,8,0,345524
net.imagej.ops.Ops.Filter.Max,6,8,0,345642
net.imagej.ops.Ops.Filter.Max,2,8,0,345705
net.imagej.ops.Ops.Filter.Max,4,8,0,345600
total_op,6,8,0,346043
total_op,2,8,0,346104
gather,7,8,0,831
total_op,4,8,0,346025
com.mycompany.imagej.ops.parallel.Parallel,7,8,0,345619
gather,5,8,0,915
net.imagej.ops.Ops.Filter.Max,7,8,0,345680
gather,0,8,0,1000
com.mycompany.imagej.ops.parallel.Parallel,5,8,0,345703
gather,3,8,0,949
total_op,7,8,0,346093
com.mycompany.imagej.ops.parallel.Parallel,0,8,0,345759
net.imagej.ops.Ops.Filter.Max,5,8,0,345779
com.mycompany.imagej.ops.parallel.Parallel,3,8,0,345681
net.imagej.ops.Ops.Filter.Max,0,8,0,345848
total_op,5,8,0,346285
gather,1,8,0,1068
net.imagej.ops.Ops.Filter.Max,3,8,0,345771
total_op,0,8,0,346261
com.mycompany.imagej.ops.parallel.Parallel,1,8,0,345927
total_op,3,8,0,346318
net.imagej.ops.Ops.Filter.Max,1,8,0,346002
total_op,1,8,0,346399
write,0,8,1,8533
read,0,7,0,3431
read,3,7,0,3454
read,2,7,0,3476
read,4,7,0,3543
read,5,7,0,3579
read,6,7,0,3601
read,1,7,0,3670
net.imagej.ops.Ops.Create.Img,0,7,0,409
net.imagej.ops.Ops.Create.Img,4,7,0,337
net.imagej.ops.Ops.Create.Img,2,7,0,381
net.imagej.ops.Ops.Create.Img,3,7,0,460
net.imagej.ops.Ops.Create.Img,5,7,0,382
net.imagej.ops.Ops.Create.Img,6,7,0,387
net.imagej.ops.Ops.Create.Img,1,7,0,383
com.mycompany.imagej.ops.parallel.ThreadedParallel,0,7,0,220310
