read,0,1,0,4457
net.haesleinhuepf.clij.ops.CLIJ_push.CLIJ_push,0,1,0,2996
CLIJ_create,0,1,0,3043
CLIJ_push,0,1,0,2077
CLIJ_addImageAndScalar,0,1,0,640
CLIJ_pull,0,1,0,344
total_op,0,1,0,6126
net.haesleinhuepf.clij.ops.CLIJ_push.CLIJ_push,0,1,3,2042
CLIJ_create,0,1,3,2064
CLIJ_push,0,1,3,1678
CLIJ_addImageAndScalar,0,1,3,455
CLIJ_pull,0,1,3,337
total_op,0,1,3,4543
net.haesleinhuepf.clij.ops.CLIJ_push.CLIJ_push,0,1,4,1828
CLIJ_create,0,1,4,1849
CLIJ_push,0,1,4,1676
CLIJ_addImageAndScalar,0,1,4,451
CLIJ_pull,0,1,4,331
total_op,0,1,4,4316
